beat,total,white,black,aian,asian,nhopi,hisp
0,542,264,62,2,34,3,161
111,27069,13222,1530,0,5210,191,6035
112,12344,8237,282,2,1245,22,2098
113,12721,8210,1,0,784,0,3108
114,16373,8843,339,3,2183,0,4318
115,49954,24314,871,220,16481,27,5845
116,17681,12569,368,104,850,5,3136
121,324,256,4,0,8,8,40
122,41238,30470,561,69,1629,81,6779
123,3342,2604,48,1,91,78,435
124,30257,22649,552,8,2980,27,2920
126,2722,1588,62,0,570,0,407
231,9595,4956,151,11,3127,0,907
232,11531,5652,204,8,4089,13,1260
233,45906,22442,1048,110,13647,254,5690
234,44931,26316,930,49,9577,198,5318
235,2654,1591,35,0,324,0,612
241,20300,12367,605,51,3616,7,2661
242,69871,19171,2792,93,32295,805,10443
243,6173,2021,275,45,2134,33,1249
245,1198,731,61,0,213,0,158
246,15614,7205,327,18,5276,27,1913
311,26514,13164,1911,127,4701,31,4931
312,29101,16691,1584,45,3487,48,5403
313,5363,2273,150,3,1152,114,1532
314,4027,1870,262,7,310,80,1231
315,12476,7240,636,37,1084,26,2882
316,1163,691,57,3,102,0,271
321,10015,4885,969,11,1227,1,2309
322,11321,7303,417,41,770,24,2361
323,7637,5339,329,20,440,0,1243
324,22792,15635,748,15,1624,19,3987
325,11951,8264,432,28,917,20,1840
326,11010,6519,661,18,1135,54,2015
327,11880,6861,1102,0,1334,18,2139
431,4357,374,1556,10,247,116,1966
432,11142,588,2458,21,1504,7,6270
433,9779,1326,1780,30,454,53,5936
434,11275,1344,2062,12,1536,53,5748
435,395,89,67,2,21,4,206
436,8086,746,2243,0,1349,97,3361
437,31869,3163,5076,36,12459,227,9523
438,16925,2525,1424,8,3299,227,8854
439,2439,182,314,0,1302,7,506
441,16675,867,1782,0,457,56,13239
442,5399,152,364,0,96,0,4659
443,3833,78,121,0,155,0,3479
444,6013,633,460,1,145,1,4667
445,4783,184,558,44,623,20,3293
446,10390,585,2233,0,1051,8,6274
447,5621,1026,1600,1,622,4,2249
451,15695,2773,3092,7,3685,83,5371
452,6857,612,1226,156,2396,8,2273
511,15907,5495,2138,68,1006,83,6765
512,14649,899,744,4,156,2,12724
514,2919,634,139,8,50,11,1987
515,4592,554,211,17,98,0,3626
516,5172,890,352,31,230,0,3566
517,7960,3090,559,67,426,0,3525
518,5529,3441,170,13,186,34,1485
521,9050,4389,1163,49,816,23,2225
522,5410,3575,418,0,470,44,794
523,928,552,84,0,76,4,182
524,6082,3422,614,7,503,16,1293
525,1194,643,122,0,92,1,285
526,530,328,22,2,43,0,125
527,1901,1318,51,0,123,0,367
528,1852,1277,51,1,117,0,364
529,8583,6056,307,28,606,20,1319
531,4256,2548,227,21,332,0,1034
541,858,453,91,1,72,7,211
611,13154,7596,1078,32,829,103,2900
612,6038,4308,149,15,380,18,842
613,19542,14335,683,190,997,72,2509
614,10937,8657,260,14,314,3,1380
615,4717,3370,233,0,261,44,614
616,2438,2088,69,0,20,1,191
617,3803,2877,130,5,142,5,516
618,2483,1878,32,6,109,6,357
621,27268,7785,1594,107,6074,32,10659
622,9736,6019,320,25,748,12,2253
623,2574,1598,143,1,135,0,593
624,12772,7389,646,76,834,10,3229
625,1255,802,114,0,64,0,235
626,5815,4462,69,9,283,1,780
627,15226,10098,611,22,1023,11,2948
628,4830,3275,240,42,284,2,824
711,8205,482,243,0,397,0,6965
712,26061,701,244,7,420,2,24588
713,7021,1001,623,16,1141,16,4143
714,194,4,5,0,6,0,179
721,9860,1733,506,21,723,52,6585
722,14087,1588,356,0,1250,155,10313
723,32703,2873,1062,9,3286,646,24336
724,6423,743,229,0,608,0,4757
725,4999,881,541,16,954,17,2519
811,9810,4264,1074,18,438,0,3652
812,1030,701,36,0,61,0,213
813,39865,21816,2718,103,1994,245,11534
814,5015,2822,397,5,273,2,1356
821,10047,4240,1188,0,1019,110,2863
822,7032,2152,1403,25,1010,8,2030
823,4021,1039,330,10,867,0,1655
824,8387,3587,771,17,1041,49,2741
825,6362,3883,481,16,377,13,1250
826,10797,1070,1748,28,2066,23,5749
827,5778,620,1223,0,1532,0,2372
828,2533,274,571,0,271,0,1367
829,790,86,178,0,85,0,426
831,7297,680,372,0,996,0,5188
832,5476,470,258,0,755,0,3887
833,5587,360,93,0,1338,0,3576
834,9416,797,1067,0,1266,0,6191
835,3081,843,333,3,311,12,1512
836,4428,515,368,0,730,0,2794
837,4387,1125,633,4,442,14,2074
838,7518,1383,1275,0,861,14,3771
839,5743,1439,302,0,496,0,3353
841,4009,1353,382,14,463,42,1666
9,281,38,15,0,61,1,135
931,9129,3479,127,14,4316,23,708
932,1320,814,17,0,294,0,139
933,7391,5722,136,0,821,19,360
934,45788,25358,428,177,13754,12,4013
935,9513,5535,25,6,2731,16,706
936,7762,3479,102,63,2777,30,808
937,9451,5558,113,49,2568,0,763
